Date,Open,High,Low,Close,Volume,Adjusted
2020/7/17,246.550003051758,247.929992675781,244.479995727539,247.139999389648,18742400,238.674621582031
2020/7/20,256.450012207031,257.670013427734,252.429992675781,254.809997558594,19015000,246.081893920898
2020/7/21,261.209991455078,261.920013427734,256.519989013672,257.899993896484,17120700,249.066040039062
2020/7/22,255.759994506836,256.269989013672,249.600006103516,251.699996948242,19682200,243.078414916992
2020/7/23,252.100006103516,257.660003662109,248.690002441406,251.880004882812,25712000,243.252258300781
2020/7/24,244.960006713867,249.479995727539,241.889999389648,249,17221500,240.470901489258
2020/7/27,247.110000610352,252.869995117188,245.809997558594,250.860000610352,18966900,242.267196655273
2020/7/28,251.149993896484,251.649993896484,248.529998779297,249.050003051758,9878700,240.51921081543
2020/7/29,250.339996337891,254.300003051758,250.100006103516,252.449996948242,11493600,243.8027344
2020/7/30,251.699996948242,253.860000610352,249.619995117188,252.740005493164,7032900,244.082809448242
2020/7/31,254.199996948242,254.399993896484,248.100006103516,251.020004272461,12304100,242.421722412109
2020/8/3,254.020004272461,260.649993896484,254,257.940002441406,11530300,249.104690551758
2020/8/4,260.079986572266,262.559997558594,258.820007324219,262.200012207031,10994500,253.218780517578
2020/8/5,263.739990234375,265.976013183594,261.755004882812,264.910003662109,10673800,255.835952758789
2020/8/6,263.420013427734,265.700012207031,259.200012207031,265.679992675781,10359500,256.579559326172
2020/8/7,257.410003662109,257.760009765625,247.570007324219,252.100006103516,22529600,243.464721679688
2020/8/10,249.339996337891,251.75,246.100006103516,248.130004882812,13621700,239.630706787109
2020/8/11,251.289993286133,252.880004882812,247.830001831055,248.419998168945,10681800,239.910766601562
2020/8/12,249.25,256.079986572266,248.679992675781,255.190002441406,11112300,246.448883056641
2020/8/13,256.390014648438,256.970001220703,252.880004882812,253.720001220703,8794500,245.029235839844
2020/8/14,255.490005493164,255.770004272461,251.639999389648,253.970001220703,7876400,245.27067565918
2020/8/17,253,257.375,250.085006713867,256.959991455078,9760000,248.158233642578
2020/8/18,258.709991455078,261.420013427734,256.059997558594,259.200012207031,13267800,250.321533203125
2020/8/19,260.890014648438,261.290008544922,257.380004882812,260.589996337891,14096500,251.66389465332
2020/8/20,256.890014648438,258.880004882812,254.179992675781,257.970001220703,21460800,249.133651733398
2020/8/21,259.029998779297,267.429992675781,258.309997558594,265.799987792969,25648200,256.695434570312
2020/8/24,273.239990234375,276.970001220703,271.619995117188,276.019989013672,22475800,266.565368652344
2020/8/25,278.059997558594,289.119995117188,276.040008544922,286,27535500,276.203521728516
2020/8/26,289.260009765625,292.480010986328,284.100006103516,291.959991455078,19530300,281.959381103516
2020/8/27,290.170013427734,290.25,282.100006103516,284.170013427734,14805800,274.436248779297
2020/8/28,285.089996337891,289.5,283.570007324219,289,9681500,279.100769042969
2020/8/31,288.619995117188,289.190002441406,283.609985351562,287.029998779297,13253800,277.1982422
2020/9/1,289.200012207031,298,288.869995117188,298,13797100,287.79248046875
2020/9/2,299,299,289.790008544922,296.070007324219,12638600,285.928588867188
2020/9/3,289,290.733001708984,278.160003662109,282.5,16766200,272.823394775391
2020/9/4,279.600006103516,283.779998779297,267.390014648438,281.390014648438,15885800,271.75146484375
2020/9/8,270.230010986328,273.970001220703,266.589996337891,270.019989013672,12734000,260.770904541016
2020/9/9,274.450012207031,275.640014648438,270.880004882812,273.149993896484,9465700,263.793670654297
2020/9/10,274.899993896484,277.100006103516,267.399993896484,267.549987792969,10676800,258.385498046875
2020/9/11,272.630004882812,274.529998779297,268.119995117188,271.609985351562,9412800,262.306427001953
2020/9/14,275.359985351562,276.290008544922,271.760009765625,274.100006103516,7883300,264.711151123047
2020/9/15,278,279.100006103516,274.799987792969,277.959991455078,8291400,268.438934326172
2020/9/16,281.029998779297,283.605010986328,278,278.140014648438,9583500,268.612762451172
2020/9/17,273.109985351562,275.899993896484,272.321014404297,275.720001220703,8016900,266.275665283203
2020/9/18,275.980010986328,277.269989013672,270.549987792969,272.410003662109,11753500,263.079040527344
2020/9/21,269.100006103516,274.220001220703,266.399993896484,273.820007324219,9076400,264.440734863281
2020/9/22,276.019989013672,276.320007324219,270.049987792969,275.290008544922,9673300,265.860382080078
2020/9/23,275.399993896484,277.829986572266,271.5,272.950012207031,7353200,263.600555419922
2020/9/24,267.929992675781,271.25,267.334014892578,269.730010986328,9562100,260.490844726562
2020/9/25,267.570007324219,271.809997558594,264.559997558594,271.089996337891,11466600,261.804260253906
2020/9/28,275.529998779297,278.839996337891,274.199005126953,276.010009765625,8761700,266.555725097656
2020/9/29,275.429992675781,279.299987792969,274.899993896484,276.929992675781,7673300,267.444183349609
2020/9/30,284.010009765625,295,283.709991455078,293.980010986328,24777700,283.910217285156
2020/10/1,295.260009765625,295.589996337891,288.25,290.049987792969,16304000,280.114807128906
2020/10/2,286.619995117188,291.97900390625,286.510009765625,288.170013427734,11482800,278.299224853516
2020/10/5,289.059997558594,290,284.880004882812,288.269989013672,17876400,278.395751953125
2020/10/6,287.410003662109,296.839996337891,286.910003662109,292.390014648438,15860400,282.374664306641
2020/10/7,297.989990234375,299.510009765625,292.869995117188,296.5,16669300,286.343872070312
2020/10/8,298.109985351562,302.299987792969,295.441009521484,300.540008544922,15105800,290.245483398438
2020/10/9,298.549987792969,302.609985351562,297.739990234375,299.739990234375,11442200,289.472869873047
2020/10/12,303.950012207031,309.640014648438,301.285003662109,306.339996337891,14780100,295.846801757812
2020/10/13,306.359985351562,310.010009765625,303.029998779297,308.779998779297,10898500,298.203247070312
2020/10/14,309,309.959991455078,300.799987792969,301.040008544922,15157800,290.728363037109
2020/10/15,293.799987792969,299.863006591797,292.609985351562,299.459991455078,9709900,289.202484130859
2020/10/16,303.989990234375,310,302.950012207031,307.309997558594,12338000,296.783599853516
2020/10/19,309.890014648438,313.809997558594,303.410003662109,305.290008544922,14107300,294.832794189453
2020/10/20,307.600006103516,311.799987792969,307.059997558594,309.809997558594,8806100,299.197967529297
2020/10/21,311.75,314,307.700012207031,307.970001220703,11139700,297.420989990234
2020/10/22,311.459991455078,311.850006103516,304.209991455078,306.279998779297,8008400,295.788848876953
2020/10/23,307.269989013672,310.329986572266,304.059997558594,309.920013427734,6231400,299.30419921875
2020/10/26,309.920013427734,315.459991455078,303.200012207031,306.869995117188,9350100,296.358673095703
2020/10/27,307.75,319.320007324219,305.609985351562,317.140014648438,13175900,306.276885986328
2020/10/28,313.5,313.5,306,307.940002441406,13644500,297.392028808594
2020/10/29,309.440002441406,315.579986572266,308.910003662109,312.559997558594,11174500,301.853759765625
2020/10/30,308.549987792969,310.829986572266,300.190002441406,304.690002441406,14918500,294.253356933594
2020/11/2,310.950012207031,311.440002441406,305.390014648438,310.839996337891,11857600,300.192657470703
2020/11/3,286.200012207031,294.279998779297,280.779998779297,285.570007324219,58132500,275.788269042969
2020/11/4,287.790008544922,299.170013427734,285.299987792969,295.709991455078,28791200,285.580932617188
2020/11/5,289.089996337891,291.25,279.600006103516,287.75,50065200,277.893585205078
2020/11/6,291.489990234375,300.890014648438,289.786010742188,299.950012207031,25259600,289.675720214844
2020/11/9,303.769989013672,304,290.5,290.529998779297,22559900,280.578369140625
2020/11/10,279.970001220703,280,264.329986572266,266.540008544922,61064000,257.410095214844
2020/11/11,261.920013427734,271.920013427734,261.204986572266,265.649993896484,41699000,256.550567626953
2020/11/12,271.040008544922,271.200012207031,263.040008544922,264.309997558594,27119100,255.256500244141
2020/11/13,264.720001220703,265.440002441406,257.170013427734,260.839996337891,33942800,251.905349731445
2020/11/16,260.420013427734,262.570007324219,257.029998779297,258.309997558594,20864200,249.462005615234
2020/11/17,260.279998779297,260.279998779297,256.540008544922,256.799987792969,19739500,248.003723144531
2020/11/18,257.760009765625,258.309997558594,252.550003051758,255.830001831055,28307100,247.066955566406
2020/11/19,255,261.399993896484,253.559997558594,259.890014648438,20752800,250.987915039062
2020/11/20,263.970001220703,272.369995117188,261.899993896484,270.739990234375,34178400,261.466247558594
2020/11/23,274.75,275.730010986328,266.411010742188,270.109985351562,25317100,260.857818603516
2020/11/24,276.234985351562,280.609985351562,272.799987792969,279.959991455078,20660500,270.370391845703
2020/11/25,275.700012207031,279.329986572266,274.049987792969,277.720001220703,15229300,268.207153320312
2020/11/27,278.799987792969,278.920013427734,275.665985107422,276.480010986328,9583200,267.009643554688
2020/11/30,268.970001220703,268.970001220703,262.519989013672,263.359985351562,30476100,254.33903503418
2020/12/1,265.470001220703,265.670013427734,261.570007324219,264.010009765625,14573100,254.966781616211
2020/12/2,262,263.100006103516,260.109985351562,261.320007324219,13919700,252.368911743164
2020/12/3,263.779998779297,268.600006103516,263.140014648438,266.910003662109,15520500,257.767456054688
2020/12/4,271.019989013672,271.299987792969,266.269989013672,267.25,15527600,258.095794677734
2020/12/7,265.700012207031,265.970001220703,262.600006103516,264,11388700,254.957092285156
2020/12/8,265.200012207031,268.399993896484,263.869995117188,266.089996337891,9447700,256.975524902344
2020/12/9,267.559997558594,267.910003662109,263.100006103516,263.799987792969,9060700,254.763946533203
2020/12/10,261.989990234375,266.089996337891,261.200012207031,264.869995117188,10290300,255.797302246094
2020/12/11,264.290008544922,265.320007324219,262.5,264.540008544922,7771300,255.478637695312
2020/12/14,260.320007324219,260.855010986328,256.029998779297,256.029998779297,18369900,247.260101318359
2020/12/15,255.339996337891,255.679992675781,252.300003051758,255.110000610352,16595600,246.371627807617
2020/12/16,257.739990234375,263.179992675781,257.040008544922,261.890014648438,15804800,252.919387817383
2020/12/17,264.700012207031,264.850006103516,260.200012207031,264.429992675781,14306600,255.372360229492
2020/12/18,263.899993896484,264.899993896484,259.200012207031,260,15981800,251.094131469727
2020/12/21,255.169998168945,260.459991455078,254.5,260.429992675781,10901800,251.509384155273
2020/12/22,257.869995117188,258.339996337891,255.410003662109,255.830001831055,11468400,247.066955566406
2020/12/23,255.5,257.350006103516,252.529998779297,256.179992675781,10729200,247.404968261719
2020/12/24,228.235000610352,229.899993896484,211.229995727539,222,141830000,214.395751953125
2020/12/28,216.880004882812,224.990005493164,215.320007324219,222.360000610352,73512100,214.743423461914
2020/12/29,231.759994506836,239.190002441406,229.600006103516,236.259994506836,69715900,228.167297363281
2020/12/30,243.348007202148,243.389999389648,234.645004272461,238.389999389648,44812300,230.224334716797
2020/12/31,237.460006713867,238.919998168945,231.026992797852,232.729995727539,23451800,224.758193969727
2021/1/4,226.5,230.380004882812,225.039993286133,227.850006103516,24897900,220.045379638672
2021/1/5,229.050003051758,240.759994506836,228.119995117188,240.399993896484,35823800,232.165481567383
2021/1/6,234.949996948242,238.300003051758,225.860000610352,227.610000610352,37146100,219.813583374023
2021/1/7,229.309997558594,229.949996948242,220.089996337891,226.899993896484,49361800,219.127899169922
2021/1/8,227.880004882812,238.600006103516,226.682998657227,236.190002441406,34884900,228.099700927734
2021/1/11,229.899993896484,230.824996948242,225.860000610352,227.369995117188,23036900,219.581802368164
2021/1/12,228.384994506836,229.75,225.139999389648,225.600006103516,18969900,217.872451782227
2021/1/13,229.940002441406,240.490005493164,226.289993286133,235.300003051758,38805100,227.240173339844
2021/1/14,245.309997558594,245.699996948242,241.470001220703,242.979995727539,31381600,234.657104492188
2021/1/15,246.25,246.990005493164,242.149993896484,243.460006713867,21561600,235.120681762695
2021/1/19,250,252.880004882812,246.990005493164,251.649993896484,23681900,243.030120849609
2021/1/20,267.5,269,262.700012207031,265.489990234375,44640800,256.396057128906
2021/1/21,264.130004882812,264.600006103516,257.899993896484,260,20709900,251.094131469727
2021/1/22,256.799987792969,260.329986572266,255.5,258.619995117188,13518200,249.761383056641
2021/1/25,263.619995117188,265.200012207031,257.850006103516,261.380004882812,19478600,252.426849365234
2021/1/26,263.799987792969,266,261.119995117188,265.920013427734,14681200,256.811370849609
2021/1/27,265.130004882812,265.920013427734,259.950012207031,260.25,16050400,251.335556030273
2021/1/28,259.170013427734,261.570007324219,257.329986572266,260.760009765625,10244900,251.828109741211
2021/1/29,256.029998779297,258.899993896484,252.300003051758,253.830001831055,14693000,245.135467529297
2021/2/1,258.799987792969,265,255.195007324219,264.690002441406,15289300,255.623458862305
2021/2/2,264.570007324219,265,254.039993286133,254.5,30534300,245.782516479492
2021/2/3,264.700012207031,268.279998779297,261.25,263.429992675781,29179700,254.406616210938
2021/2/4,269.579986572266,269.989990234375,265.558013916016,266.959991455078,16763000,257.815704345703
2021/2/5,264.609985351562,266.450012207031,263.209991455078,265.670013427734,11018700,256.569915771484
2021/2/8,264.980010986328,265,261.820007324219,262.589996337891,10721100,253.595397949219
